"Adipose Tissue","Muscle","Blood Vessel","Heart","Uterus","Vagina","Breast","Skin","Salivary Gland","Brain","Adrenal Gland","Thyroid","Lung","Spleen","Pancreas","Esophagus","Stomach","Colon","Small Intestine","Prostate","Testis","Nerve","Blood","Pituitary","Ovary","Liver","Kidney","Bladder"
"Streptococcus parasuis",NA,"Sphingobium amiense",NA,"Shigella dysenteriae","Shinella zoogloeoides","Roseateles depolymerans","Staphylococcus warneri",NA,NA,NA,"Streptococcus periodonticum","Thermoanaerobacterium thermosaccharolyticum","Rahnella aceris","Sphingobium phenoxybenzoativorans","Stenotrophomonas pavanii","Staphylococcus saprophyticus","Sphingomonas profundi","Tardibacter chloracetimidivorans","Pseudomonas tritici",NA,"Sphingobium phenoxybenzoativorans","Stenotrophomonas pavanii",NA,"Staphylococcus auricularis","Sphingobium fuliginis","Thermoanaerobacterium thermosaccharolyticum","Photorhabdus asymbiotica"
"Streptococcus periodonticum",NA,"Sphingobium cloacae",NA,"Shigella flexneri","Simiaoa sunii","Roseburia hominis","Staphylococcus xylosus",NA,NA,NA,"Streptococcus pseudopneumoniae","Thermoleptolyngbya sichuanensis","Rahnella victoriana","Sphingobium xenophagum","Steroidobacter denitrificans","Staphylococcus schweitzeri","Sphingomonas psychrotolerans","Tepidimonas taiwanensis","Pseudomonas tructae",NA,"Sphingobium xenophagum","Steroidobacter denitrificans",NA,"Staphylococcus caprae","Sphingobium indicum","Thermoleptolyngbya sichuanensis","Phreatobacter stygius"
"Streptococcus pseudopneumoniae",NA,"Sphingobium fuliginis",NA,"Shigella sonnei","Simplicispira suum","Roseburia intestinalis","Stenotrophomonas acidaminiphila",NA,NA,NA,"Streptococcus respiraculi","Thermomonas aquatica","Raineyella fluvialis","Sphingobium yanoikuyae","Streptococcus australis","Staphylococcus warneri","Sphingomonas radiodurans","Tessaracoccus defluvii","Pseudomonas umsongensis",NA,"Sphingobium yanoikuyae","Streptococcus australis",NA,"Staphylococcus epidermidis","Sphingobium phenoxybenzoativorans","Thermomonas aquatica","Phyllobacterium zundukense"
"Streptococcus respiraculi",NA,"Sphingobium indicum",NA,"Shinella zoogloeoides","Skermanella rosea","Roseococcus microcysteis","Stenotrophomonas indicatrix",NA,NA,NA,"Streptococcus thermophilus","Thermomonas brevis","Ralstonia insidiosa","Sphingomonas aliaeris","Streptococcus cristatus","Staphylococcus xylosus","Sphingomonas rhizophila","Tessaracoccus flavescens","Pseudomonas vanderleydeniana",NA,"Sphingomonas aliaeris","Streptococcus cristatus",NA,"Staphylococcus equorum","Sphingobium xenophagum","Thermomonas brevis","Phytobacter diazotrophicus"
"Streptococcus thermophilus",NA,"Sphingobium phenoxybenzoativorans",NA,"Simiaoa sunii","Sneathia vaginalis","Roseomonas gilardii","Stenotrophomonas maltophilia",NA,NA,NA,"Streptomyces gilvosporeus","Thermus aquaticus","Ralstonia mannitolilytica","Sphingomonas alpina","Streptococcus gordonii","Stenotrophomonas acidaminiphila","Sphingomonas sabuli","Tessaracoccus flavus","Pseudomonas veronii",NA,"Sphingomonas alpina","Streptococcus gordonii",NA,"Staphylococcus haemolyticus","Sphingobium yanoikuyae","Thermus caldilimi","Phytobacter ursingii"
"Streptomyces gilvosporeus",NA,"Sphingobium xenophagum",NA,"Simplicispira suum","Sphaerotilus sulfidivorans","Roseomonas haemaphysalidis","Stenotrophomonas pavanii",NA,NA,NA,"Stutzerimonas degradans","Thermus caldilimi","Ralstonia pseudosolanacearum","Sphingomonas changnyeongensis","Streptococcus gwangjuense","Stenotrophomonas indicatrix","Sphingomonas sanxanigenens","Tessaracoccus timonensis","Pseudomonas versuta",NA,"Sphingomonas changnyeongensis","Streptococcus gwangjuense",NA,"Staphylococcus hominis","Sphingomonas aliaeris","Thermus parvatiensis","Phytohabitans flavus"
"Stutzerimonas chloritidismutans",NA,"Sphingobium yanoikuyae",NA,"Skermanella rosea","Sphingobacterium multivorum","Roseomonas marmotae","Steroidobacter denitrificans",NA,NA,NA,"Stutzerimonas frequens","Thioalkalivibrio sulfidiphilus","Ralstonia syzygii","Sphingomonas ginsengisoli An et al. 2013","Streptococcus infantarius","Stenotrophomonas maltophilia","Sphingomonas sediminicola","Thauera aromatica","Pseudomonas viciae",NA,"Sphingomonas daechungensis","Streptococcus infantarius",NA,"Staphylococcus nepalensis","Sphingomonas alpina","Thiopseudomonas alkaliphila","Pigmentiphaga aceris"
"Stutzerimonas degradans",NA,"Sphingomonas aliaeris",NA,"Sphaerotilus sulfidivorans","Sphingobacterium spiritivorum","Roseomonas mucosa","Streptococcus australis",NA,NA,NA,"Stutzerimonas kunmingensis","Thiopseudomonas alkaliphila","Ramlibacter tataouinensis","Sphingomonas hengshuiensis","Streptococcus intermedius","Stenotrophomonas pavanii","Sphingomonas sinipercae","Thauera humireducens","Pseudomonas viridiflava",NA,"Sphingomonas ginsengisoli An et al. 2013","Streptococcus intermedius",NA,"Staphylococcus pasteuri","Sphingomonas changnyeongensis","Trichormus azollae","Planococcus glaciei"
"Stutzerimonas frequens",NA,"Sphingomonas alpina",NA,"Sphingobacterium multivorum","Sphingobium amiense","Rothia aeria","Streptococcus cristatus",NA,NA,NA,"Stutzerimonas stutzeri","Trichormus variabilis","Raoultella electrica","Sphingomonas koreensis","Streptococcus koreensis","Steroidobacter denitrificans","Sphingomonas suaedae","Thermoanaerobacterium thermosaccharolyticum","Pseudomonas wenzhouensis",NA,"Sphingomonas hengshuiensis","Streptococcus koreensis",NA,"Staphylococcus pettenkoferi","Sphingomonas daechungensis","Trichormus variabilis","Planococcus halotolerans"
"Stutzerimonas kunmingensis",NA,"Sphingomonas changnyeongensis",NA,"Sphingobacterium spiritivorum","Sphingobium cloacae","Rothia amarae","Streptococcus gordonii",NA,NA,NA,"Subdoligranulum variabile","Truepera radiovictrix","Raoultella planticola","Sphingomonas lacunae","Streptococcus lactarius","Streptococcus anginosus","Sphingomonas taxi","Thermoleptolyngbya sichuanensis","Pseudomonas xantholysinigenes",NA,"Sphingomonas koreensis","Streptococcus lactarius",NA,"Staphylococcus saccharolyticus","Sphingomonas ginsengisoli An et al. 2013","Truepera radiovictrix","Planococcus kocurii"
"Stutzerimonas stutzeri",NA,"Sphingomonas daechungensis",NA,"Sphingobacterium thalpophilum","Sphingobium fuliginis","Rothia dentocariosa","Streptococcus gwangjuense",NA,NA,NA,"Sulfuritortus calidifontis","Tsuneonella dongtanensis","Raoultella terrigena","Sphingomonas morindae","Streptococcus lutetiensis","Streptococcus australis","Sphingomonas xanthus","Thermomonas aquatica","Pseudomonas xanthosomae",NA,"Sphingomonas lacunae","Streptococcus lutetiensis",NA,"Staphylococcus saprophyticus","Sphingomonas hengshuiensis","Tsuneonella dongtanensis","Planococcus lenghuensis"
"Subdoligranulum variabile",NA,"Sphingomonas ginsengisoli An et al. 2013",NA,"Sphingobium amiense","Sphingobium indicum","Rothia nasimurium","Streptococcus infantarius",NA,NA,NA,"Sulfurivermis fontis","Turicibacter bilis","Rathayibacter festucae","Sphingomonas paeninsulae","Streptococcus mutans","Streptococcus cristatus","Sphingopyxis alaskensis","Thermomonas brevis","Pseudomonas yamanorum",NA,"Sphingomonas morindae","Streptococcus mutans",NA,"Staphylococcus simiae","Sphingomonas koreensis","Turicibacter bilis","Plesiomonas shigelloides"
"Sulfuritortus calidifontis",NA,"Sphingomonas hengshuiensis",NA,"Sphingobium cloacae","Sphingobium phenoxybenzoativorans","Rothia terrae","Streptococcus intermedius",NA,NA,NA,"Synechococcus elongatus","Vagococcus fluvialis","Renibacterium salmoninarum","Sphingomonas panacis","Streptococcus oralis","Streptococcus gordonii","Sphingopyxis fribergensis","Thermus caldilimi","Pseudomonas zarinae",NA,"Sphingomonas paeninsulae","Streptococcus oralis",NA,"Staphylococcus warneri","Sphingomonas lacunae","Vagococcus coleopterorum","Pluralibacter gergoviae"
"Sulfurivermis fontis",NA,"Sphingomonas koreensis",NA,"Sphingobium fuliginis","Sphingobium xenophagum","Ruania halotolerans","Streptococcus koreensis",NA,NA,NA,"Tannerella forsythia","Variibacter gotjawalensis","Rheinheimera mangrovi","Sphingomonas panacisoli","Streptococcus parasuis","Streptococcus gwangjuense","Sphingopyxis macrogoltabida","Thioalkalivibrio sulfidiphilus","Pseudomonas zeae",NA,"Sphingomonas panacis","Streptococcus parasuis",NA,"Staphylococcus xylosus","Sphingomonas morindae","Veillonella dispar","Polaromonas naphthalenivorans"
"Synechococcus elongatus",NA,"Sphingomonas lacunae",NA,"Sphingobium indicum","Sphingobium yanoikuyae","Rugosibacter aromaticivorans","Streptococcus lactarius",NA,NA,NA,"Tardibacter chloracetimidivorans","Veillonella dispar","Rhizobacter gummiphilus","Sphingomonas paucimobilis","Streptococcus periodonticum","Streptococcus infantarius","Sphingosinithalassobacter tenebrarum","Thioclava electrotropha","Pseudonocardia autotrophica",NA,"Sphingomonas panacisoli","Streptococcus periodonticum",NA,"Stenotrophomonas acidaminiphila","Sphingomonas paeninsulae","Veillonella nakazawae","Polaromonas vacuolata"
"Tabrizicola piscis",NA,"Sphingomonas morindae",NA,"Sphingobium phenoxybenzoativorans","Sphingomonas aliaeris","Ruminococcus bicirculans","Streptococcus lutetiensis",NA,NA,NA,"Tardiphaga robiniae","Veillonella nakazawae","Rhizobium daejeonense","Sphingomonas piscis","Streptococcus pseudopneumoniae","Streptococcus intermedius","Spirosoma pollinicola","Thiopseudomonas alkaliphila","Pseudonocardia broussonetiae",NA,"Sphingomonas paucimobilis","Streptococcus pseudopneumoniae",NA,"Stenotrophomonas indicatrix","Sphingomonas panacis","Veillonella parvula","Polymorphum gilvum"
"Tannerella forsythia",NA,"Sphingomonas paeninsulae",NA,"Sphingobium xenophagum","Sphingomonas alpina","Ruminococcus gauvreauii","Streptococcus mutans",NA,NA,NA,"Tepidimonas taiwanensis","Veillonella parvula","Rhizobium oryzihabitans","Sphingomonas profundi","Streptococcus respiraculi","Streptococcus koreensis","Spirosoma rigui","Thomasclavelia ramosa","Pseudoprevotella muciniphila",NA,"Sphingomonas piscis","Streptococcus respiraculi",NA,"Stenotrophomonas maltophilia","Sphingomonas panacisoli","Veillonella rodentium","Porphyromonas asaccharolytica"
"Tardibacter chloracetimidivorans",NA,"Sphingomonas panacis",NA,"Sphingobium yanoikuyae","Sphingomonas changnyeongensis","Saccharopolyspora gregorii","Streptococcus oralis",NA,NA,NA,"Tessaracoccus aquimaris","Veillonella rodentium","Rhizobium pseudoryzae","Sphingomonas psychrotolerans","Streptococcus thermophilus","Streptococcus lactarius","Stanieria cyanosphaera","Trichormus variabilis","Pseudorhizobium flavum",NA,"Sphingomonas profundi","Streptococcus thermophilus",NA,"Stenotrophomonas pavanii","Sphingomonas paucimobilis","Verminephrobacter eiseniae","Porphyromonas cangingivalis"
"Tardiphaga robiniae",NA,"Sphingomonas panacisoli",NA,"Sphingomonas aliaeris","Sphingomonas daechungensis","Salinicoccus halodurans","Streptococcus parasuis",NA,NA,NA,"Tessaracoccus defluvii","Verminephrobacter eiseniae","Rhizobium pusense","Sphingomonas radiodurans","Streptomyces gilvosporeus","Streptococcus lutetiensis","Staphylococcus aureus","Truepera radiovictrix","Pseudorhodoplanes sinuspersici",NA,"Sphingomonas psychrotolerans","Stutzerimonas degradans",NA,"Steroidobacter denitrificans","Sphingomonas piscis","Vibrio rumoiensis","Porphyromonas crevioricanis"
"Tepidimonas taiwanensis",NA,"Sphingomonas paucimobilis",NA,"Sphingomonas alpina","Sphingomonas ginsengisoli An et al. 2013","Sanguibacter keddieii","Streptococcus periodonticum",NA,NA,NA,"Tessaracoccus flavescens","Vitreoscilla filiformis","Rhizobium rhizoryzae","Sphingomonas rhizophila","Stutzerimonas chloritidismutans","Streptococcus mutans","Staphylococcus auricularis","Tsuneonella dongtanensis","Pseudothauera hydrothermalis",NA,"Sphingomonas radiodurans","Stutzerimonas frequens",NA,"Streptococcus australis","Sphingomonas profundi","Vitreoscilla filiformis","Porphyromonas gingivalis"
"Tessaracoccus defluvii",NA,"Sphingomonas piscis",NA,"Sphingomonas changnyeongensis","Sphingomonas hengshuiensis","Schaalia cardiffensis","Streptococcus pseudopneumoniae",NA,NA,NA,"Tessaracoccus flavus","Weissella confusa","Rhizobium sullae","Sphingomonas sabuli","Stutzerimonas degradans","Streptococcus oralis","Staphylococcus caprae","Turicibacter bilis","Pseudoxanthomonas daejeonensis",NA,"Sphingomonas rhizophila","Stutzerimonas kunmingensis",NA,"Streptococcus cristatus","Sphingomonas psychrotolerans","Weizmannia coagulans","Porphyromonas somerae"
"Tessaracoccus flavescens",NA,"Sphingomonas profundi",NA,"Sphingomonas daechungensis","Sphingomonas koreensis","Schaalia meyeri","Streptococcus thermophilus",NA,NA,NA,"Tessaracoccus lapidicaptus","Weizmannia coagulans","Rhizobium tropici","Sphingomonas sanxanigenens","Stutzerimonas frequens","Streptococcus parasuis","Staphylococcus epidermidis","Variibacter gotjawalensis","Pseudoxanthomonas mexicana",NA,"Sphingomonas sabuli","Stutzerimonas stutzeri",NA,"Streptococcus gordonii","Sphingomonas radiodurans","Xanthobacter dioxanivorans","Prauserella marina"
"Tessaracoccus flavus",NA,"Sphingomonas psychrotolerans",NA,"Sphingomonas ginsengisoli An et al. 2013","Sphingomonas lacunae","Sediminicoccus rosea","Streptomyces gilvosporeus",NA,NA,NA,"Tessaracoccus timonensis","Xanthobacter dioxanivorans","Rhizorhabdus dicambivorans","Sphingomonas sediminicola","Stutzerimonas kunmingensis","Streptococcus periodonticum","Staphylococcus equorum","Veillonella dispar","Pseudoxanthomonas spadix",NA,"Sphingomonas sanxanigenens","Subdoligranulum variabile",NA,"Streptococcus gwangjuense","Sphingomonas rhizophila","Xanthomonas arboricola","Prevotella bryantii"
"Tessaracoccus lapidicaptus",NA,"Sphingomonas radiodurans",NA,"Sphingomonas hengshuiensis","Sphingomonas morindae","Serinicoccus chungangensis","Stutzerimonas chloritidismutans",NA,NA,NA,"Thauera aromatica","Xanthomonas arboricola","Rhizorhabdus phycosphaerae","Sphingomonas sinipercae","Stutzerimonas stutzeri","Streptococcus pseudopneumoniae","Staphylococcus haemolyticus","Veillonella nakazawae","Psychrobacillus glaciei",NA,"Sphingomonas sediminicola","Sulfuritortus calidifontis",NA,"Streptococcus infantarius","Sphingomonas sabuli","Xanthomonas campestris","Prevotella copri"
"Tessaracoccus timonensis",NA,"Sphingomonas rhizophila",NA,"Sphingomonas koreensis","Sphingomonas paeninsulae","Serpentinimonas maccroryi","Stutzerimonas degradans",NA,NA,NA,"Thauera chlorobenzoica","Xanthomonas campestris","Rhizorhabdus wittichii","Sphingomonas suaedae","Subdoligranulum variabile","Streptococcus respiraculi","Staphylococcus hominis","Veillonella parvula","Psychrobacter alimentarius",NA,"Sphingomonas sinipercae","Sulfurivermis fontis",NA,"Streptococcus intermedius","Sphingomonas sanxanigenens","Xanthomonas euroxanthea","Prevotella dentalis"
"Thauera aromatica",NA,"Sphingomonas sabuli",NA,"Sphingomonas lacunae","Sphingomonas panacis","Serpentinimonas raichei","Stutzerimonas frequens",NA,NA,NA,"Thauera humireducens","Xanthomonas euroxanthea","Rhodococcus erythropolis","Sphingomonas taxi","Sulfuritortus calidifontis","Streptococcus thermophilus","Staphylococcus nepalensis","Veillonella rodentium","Psychrobacter arcticus",NA,"Sphingomonas suaedae","Synechococcus elongatus",NA,"Streptococcus koreensis","Sphingomonas sediminicola","Xanthomonas euvesicatoria","Prevotella fusca"
"Thauera chlorobenzoica",NA,"Sphingomonas sanxanigenens",NA,"Sphingomonas morindae","Sphingomonas panacisoli","Serratia fonticola","Stutzerimonas kunmingensis",NA,NA,NA,"Thermoanaerobacterium thermosaccharolyticum","Xanthomonas euvesicatoria","Rhodococcus fascians","Sphingomonas xanthus","Sulfurivermis fontis","Stutzerimonas chloritidismutans","Staphylococcus pasteuri","Verminephrobacter eiseniae","Psychrobacter arenosus",NA,"Sphingomonas taxi","Tabrizicola piscis",NA,"Streptococcus lactarius","Sphingomonas sinipercae","Xanthomonas fragariae","Prevotella herbatica"
"Thauera humireducens",NA,"Sphingomonas sediminicola",NA,"Sphingomonas paeninsulae","Sphingomonas paucimobilis","Serratia liquefaciens","Stutzerimonas stutzeri",NA,NA,NA,"Thermoleptolyngbya sichuanensis","Xanthomonas fragariae","Rhodococcus qingshengii","Sphingopyxis alaskensis","Synechococcus elongatus","Stutzerimonas degradans","Staphylococcus pettenkoferi","Vescimonas coprocola","Psychrobacter cryohalolentis",NA,"Sphingomonas xanthus","Tannerella forsythia",NA,"Streptococcus lutetiensis","Sphingomonas suaedae","Xanthomonas hortorum","Prevotella histicola"
"Thermoanaerobacterium thermosaccharolyticum",NA,"Sphingomonas sinipercae",NA,"Sphingomonas panacis","Sphingomonas piscis","Serratia quinivorans","Subdoligranulum variabile",NA,NA,NA,"Thermomonas aquatica","Xanthomonas hortorum","Rhodoferax antarcticus","Sphingopyxis fribergensis","Tabrizicola piscis","Stutzerimonas frequens","Staphylococcus saccharolyticus","Vescimonas fastidiosa","Psychrobacter urativorans",NA,"Sphingopyxis alaskensis","Tardibacter chloracetimidivorans",NA,"Streptococcus mutans","Sphingomonas taxi","Xanthomonas hydrangeae","Prevotella intermedia"
"Thermoleptolyngbya sichuanensis",NA,"Sphingomonas suaedae",NA,"Sphingomonas panacisoli","Sphingomonas profundi","Shewanella xiamenensis","Sulfuritortus calidifontis",NA,NA,NA,"Thermomonas brevis","Xanthomonas hydrangeae","Rhodoferax aquaticus","Sphingopyxis macrogoltabida","Tannerella forsythia","Stutzerimonas kunmingensis","Staphylococcus saprophyticus","Vitreoscilla filiformis","Psychromicrobium lacuslunae",NA,"Sphingopyxis fribergensis","Tardiphaga robiniae",NA,"Streptococcus oralis","Sphingomonas xanthus","Xanthomonas oryzae","Prevotella jejuni"
"Thermomonas aquatica",NA,"Sphingomonas taxi",NA,"Sphingomonas paucimobilis","Sphingomonas psychrotolerans","Shigella dysenteriae","Sulfurivermis fontis",NA,NA,NA,"Thermus caldilimi","Xanthomonas prunicola","Rhodoferax ferrireducens","Sphingosinithalassobacter tenebrarum","Tardibacter chloracetimidivorans","Stutzerimonas stutzeri","Staphylococcus schweitzeri","Wansuia hejianensis","Pulveribacter suum",NA,"Sphingopyxis macrogoltabida","Tepidimonas taiwanensis",NA,"Streptococcus parasuis","Sphingopyxis alaskensis","Xanthomonas prunicola","Prevotella melaninogenica"
"Thermomonas brevis",NA,"Sphingomonas xanthus",NA,"Sphingomonas piscis","Sphingomonas radiodurans","Shigella flexneri","Synechococcus elongatus",NA,NA,NA,"Thermus parvatiensis","Xylophilus rhododendri","Rhodoferax koreense","Spirosoma pollinicola","Tardiphaga robiniae","Subdoligranulum variabile","Staphylococcus warneri","Weissella confusa","Qipengyuania flava",NA,"Sphingosinithalassobacter tenebrarum","Tessaracoccus defluvii",NA,"Streptococcus periodonticum","Sphingopyxis fribergensis","Xanthomonas theicola","Prevotella nigrescens"
"Thermus caldilimi",NA,"Sphingopyxis alaskensis",NA,"Sphingomonas profundi","Sphingomonas rhizophila","Shigella sonnei","Tabrizicola piscis",NA,NA,NA,"Thiopseudomonas alkaliphila","Zymomonas mobilis","Rhodoferax saidenbachensis","Spirosoma rigui","Tepidimonas taiwanensis","Sulfuritortus calidifontis","Staphylococcus xylosus","Weizmannia coagulans","Qipengyuania sediminis",NA,"Spirosoma pollinicola","Tessaracoccus flavescens",NA,"Streptococcus pseudopneumoniae","Sphingopyxis macrogoltabida","Xylophilus rhododendri","Prevotella oris"
